Subset Size,Similarity,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1
30,cosine,0.1757685997729478,0.4258517036008357,0.24076214055536269,0.05499253615294372,0.17662502544716568,0.0834500102000343,0.14509747773688986,0.3445982373177355,0.19690061055826333
30,euclidean,0.1780203201098587,0.4372375399866721,0.24594898054646094,0.05604646253325396,0.17547481781853216,0.0845631075607711,0.14692224843942897,0.35407356591071115,0.20098095909929733
30,manhattan,0.18180325623862553,0.45170157493752244,0.2520340885557384,0.05799471447081819,0.1855321366787551,0.08792672093430896,0.1520292855094244,0.37266285356693585,0.209062561132632
50,cosine,0.1714387684918682,0.41631785133806987,0.2355792279263639,0.04796022086580395,0.1479302806718595,0.07166358846027131,0.13753567194869346,0.3302828233028845,0.18771121291313766
50,euclidean,0.17169842551489414,0.4217786521113706,0.23787580347170448,0.047129042973739384,0.14229071973995985,0.07026775540722306,0.13806495868893562,0.3330813750597696,0.1896675495347305
50,manhattan,0.17423966431013713,0.4310319467094928,0.24211163013332823,0.04796823085245825,0.15020722639638587,0.07221764309252636,0.14141034526449883,0.34668970425717927,0.19528612330495623
100,cosine,0.20282617243666995,0.4704340963915382,0.2729317797593187,0.07706083028073982,0.23257826729141742,0.11191759296456319,0.17065721742346585,0.3938467643427911,0.22838801061972938
100,euclidean,0.20899925974112193,0.49247949362493987,0.2841330376297287,0.08153644229664901,0.24320496584995469,0.11855014074963467,0.1727017321843468,0.40383657812160123,0.2331548697459021
100,manhattan,0.2109680708130277,0.48964378995467994,0.28531887362523606,0.0828410028585036,0.24422046919339924,0.11991876711367332,0.18112991534440256,0.4168205110523427,0.24335705821896142
200,cosine,0.24006999810894233,0.5370084839329129,0.3213034833282812,0.11574786321559428,0.3337892526830837,0.16752993407512326,0.20797668317159232,0.46336917796538324,0.2773902249137403
200,euclidean,0.24397863492372526,0.5464347615551919,0.3270482506295046,0.12039247495061692,0.34092552419692523,0.1733745174735566,0.2122366436748187,0.4715406683724808,0.28316263612206843
200,manhattan,0.24408389901460792,0.5441387943126336,0.3265156991606085,0.11865511906101106,0.33264387016337654,0.17031771565639103,0.21523996129114673,0.47586086187284277,0.28664618678010256
500,cosine,0.23401028534606866,0.5335108386799395,0.31557124127091274,0.11590849067639603,0.33233477009959117,0.16787421919948065,0.200624362973908,0.45604587000436525,0.2700660111030222
500,euclidean,0.23599682605527755,0.5379133991535402,0.31857821991091656,0.11804102382591217,0.33237111804799824,0.17015508377814934,0.20208637754440625,0.4587685143816449,0.272131596576879
500,manhattan,0.23727746057391996,0.5376496306168771,0.3196160810375045,0.11847873332403464,0.32887678064945247,0.1701412438992235,0.20570756897681405,0.4636437285851115,0.27633997265764026
