Article Length,Generated Summary Length,Dataset Summary Length,Similarity Measure,ROUGE-1,ROUGE-2,ROUGE-L
1009,79,32,common_tokens,0.3658536542058299,0.1320754675596299,0.2195121907911958
1009,79,32,cosine,0.3658536542058299,0.1320754675596299,0.2195121907911958
1009,79,32,jaccard,0.3658536542058299,0.1320754675596299,0.2195121907911958
342,84,22,common_tokens,0.11764705522491362,0.0,0.09411764346020776
342,92,22,cosine,0.07594936330716251,0.0,0.07594936330716251
342,92,22,jaccard,0.07594936330716251,0.0,0.07594936330716251
262,66,22,common_tokens,0.14084506614560613,0.0,0.14084506614560613
262,92,22,cosine,0.20689654794556753,0.05660377040761855,0.16091953645131468
262,92,22,jaccard,0.20689654794556753,0.05660377040761855,0.16091953645131468
1516,71,35,common_tokens,0.31325300750181456,0.03921568183006587,0.19277107979097122
1516,87,35,cosine,0.28888888452098765,0.0341880300650162,0.17777777340987666
1516,73,35,jaccard,0.27499999537812503,0.0,0.14999999537812514
825,67,39,common_tokens,0.4651162744591672,0.22222221765126018,0.4186046465521904
825,88,39,cosine,0.4742267997746839,0.220338978878196,0.3917525729705601
825,88,39,jaccard,0.4742267997746839,0.220338978878196,0.412371129671591
1314,98,33,common_tokens,0.6136363592975207,0.534482754625446,0.6136363592975207
1314,88,33,cosine,0.3294117602878893,0.17391303946162578,0.25882352499377165
1314,88,33,jaccard,0.3294117602878893,0.17391303946162578,0.25882352499377165
394,73,30,common_tokens,0.6666666622222223,0.48936169803304663,0.5384615340170941
394,73,30,cosine,0.6666666622222223,0.48936169803304663,0.5384615340170941
394,73,30,jaccard,0.6666666622222223,0.48936169803304663,0.5384615340170941
292,81,22,common_tokens,0.3692307652260355,0.09756097192147545,0.24615384214911246
292,99,22,cosine,0.3684210490166206,0.10526315457063723,0.2368421016481995
292,99,22,jaccard,0.3684210490166206,0.10638297537347229,0.2894736805955679
367,87,24,common_tokens,0.45714285306122454,0.18823529039723189,0.4285714244897959
367,100,24,cosine,0.3855421650166933,0.16326530275510212,0.2891566228480186
367,100,24,jaccard,0.3855421650166933,0.16326530275510212,0.2891566228480186
288,71,25,common_tokens,0.16666666222222234,0.0,0.11111110666666683
288,71,25,cosine,0.16666666222222234,0.0,0.11111110666666683
288,71,25,jaccard,0.16666666222222234,0.0,0.11111110666666683
267,70,32,common_tokens,0.2191780776055546,0.0,0.19178081733158203
267,70,32,cosine,0.2191780776055546,0.0,0.19178081733158203
267,91,32,jaccard,0.2195121907911958,0.0,0.1707317029863178
349,81,26,common_tokens,0.33333332958333334,0.0980392121933873,0.26190475815476194
349,96,26,cosine,0.3516483480980558,0.08620689337247338,0.2637362601859679
349,86,26,jaccard,0.3999999961281251,0.09708737517202388,0.27499999612812503
627,94,35,common_tokens,0.4299065378635689,0.1439999960396801,0.2056074724430082
627,89,35,cosine,0.4444444400693807,0.17094016681715254,0.24242423804917873
627,89,35,jaccard,0.4444444400693807,0.16949152132145948,0.2222222178471585
1925,90,47,common_tokens,0.7192982409602956,0.6818181772773187,0.7192982409602956
1925,76,47,cosine,0.24742267550217883,0.08547008069837123,0.14432989199702428
1925,76,47,jaccard,0.24742267550217883,0.08547008069837123,0.14432989199702428
396,71,17,common_tokens,0.20289854749002315,0.02352940870865092,0.14492753299726957
396,71,17,cosine,0.20289854749002315,0.047058820473356605,0.17391304024364634
396,71,17,jaccard,0.20289854749002315,0.047058820473356605,0.17391304024364634
201,94,23,common_tokens,0.2588235256913495,0.05309734178714094,0.23529411392664365
201,100,23,cosine,0.3863636327298554,0.25862068637336505,0.3863636327298554
201,100,23,jaccard,0.3863636327298554,0.25862068637336505,0.3636363600025827
1308,82,32,common_tokens,0.2150537592322813,0.018867920389819347,0.17204300654410926
1308,77,32,cosine,0.6206896508072401,0.5660377317105733,0.6206896508072401
1308,82,32,jaccard,0.2150537592322813,0.018867920389819347,0.17204300654410926
281,97,21,common_tokens,0.23376622992072865,0.06315789141274256,0.2077922039467027
281,97,21,cosine,0.23376622992072865,0.06315789141274256,0.2077922039467027
281,97,21,jaccard,0.23376622992072865,0.06315789141274256,0.2077922039467027
2289,85,40,common_tokens,0.22222221757777788,0.03305784687111594,0.15555555091111126
2289,85,40,cosine,0.22222221757777788,0.03305784687111594,0.15555555091111126
2289,83,40,jaccard,0.18390804126833146,0.03448275415725385,0.13793102977407862
1047,84,37,common_tokens,0.15555555118765446,0.0,0.08888888452098788
1047,95,37,cosine,0.16666666245008688,0.015748027503256014,0.10416666245008697
1047,95,37,jaccard,0.16666666245008688,0.015748027503256014,0.12499999578342029
400,82,44,common_tokens,0.39999999520000007,0.24390243447683269,0.380952376152381
400,82,44,cosine,0.39999999520000007,0.24390243447683269,0.380952376152381
400,82,44,jaccard,0.39999999520000007,0.24390243447683269,0.380952376152381
1166,90,24,common_tokens,0.4782608658152175,0.39999999669256203,0.4782608658152175
1166,95,24,cosine,0.4731182758469188,0.3859649090597107,0.4731182758469188
1166,95,24,jaccard,0.4731182758469188,0.3859649090597107,0.4731182758469188
249,98,25,common_tokens,0.19780219402487628,0.06956521408846897,0.1758241720468543
249,80,25,cosine,0.2564102522518081,0.062499996250000224,0.17948717532873118
249,80,25,jaccard,0.2564102522518081,0.062499996250000224,0.17948717532873118
430,79,35,common_tokens,0.4842105218481995,0.29357797742950936,0.29473683763767317
430,98,35,cosine,0.4705882309880815,0.2539682501020409,0.4313725447135718
430,98,35,jaccard,0.4705882309880815,0.2539682501020409,0.27450979961553257
478,87,29,common_tokens,0.18181817752740775,0.022988501466508923,0.18181817752740775
478,87,29,cosine,0.18181817752740775,0.022988501466508923,0.18181817752740775
478,87,29,jaccard,0.18181817752740775,0.022988501466508923,0.18181817752740775
788,81,28,common_tokens,0.2253521080341203,0.0,0.11267605169609224
788,100,28,cosine,0.19753085983843935,0.019417471859742498,0.1481481437890567
788,100,28,jaccard,0.19753085983843935,0.019417471859742498,0.1481481437890567
342,97,29,common_tokens,0.3999999958542222,0.12903225413342595,0.3199999958542223
342,97,29,cosine,0.3999999958542222,0.12903225413342595,0.3199999958542223
342,97,29,jaccard,0.3999999958542222,0.12903225413342595,0.3199999958542223
498,69,34,common_tokens,0.3764705837397924,0.1599999956480001,0.32941176021038066
498,86,34,cosine,0.5319148893503849,0.36842104859341335,0.5106382936057041
498,86,34,jaccard,0.5319148893503849,0.36842104859341335,0.5106382936057041
1285,94,37,common_tokens,0.2828282784532191,0.0483870926534863,0.20202019764513834
1285,93,37,cosine,0.2857142813161183,0.04878048366448578,0.2040816282548939
1285,79,37,jaccard,0.28260869111531195,0.05357142420918403,0.21739129981096417
379,96,23,common_tokens,0.2352941141757786,0.03571428266741098,0.16470587888166097
379,95,23,cosine,0.2352941141757786,0.0360360329681035,0.16470587888166097
379,96,23,jaccard,0.2352941141757786,0.03571428266741098,0.16470587888166097
513,97,26,common_tokens,0.3658536547263534,0.10909090567933895,0.24390243521415828
513,94,26,cosine,0.42253520710176556,0.15841583796098432,0.30985915076373743
513,94,26,jaccard,0.42253520710176556,0.15841583796098432,0.30985915076373743
236,82,34,common_tokens,0.6881720384321888,0.5871559590808855,0.6881720384321888
236,82,34,cosine,0.6881720384321888,0.5871559590808855,0.6881720384321888
236,82,34,jaccard,0.6881720384321888,0.5871559590808855,0.6881720384321888
422,83,26,common_tokens,0.38554216466831187,0.1714285678004536,0.28915662249963714
422,83,26,cosine,0.38554216466831187,0.1714285678004536,0.3132530080418058
422,83,26,jaccard,0.38554216466831187,0.1714285678004536,0.3132530080418058
685,95,30,common_tokens,0.494845356718036,0.3801652856116386,0.494845356718036
685,95,30,cosine,0.494845356718036,0.3801652856116386,0.494845356718036
685,95,30,jaccard,0.494845356718036,0.3801652856116386,0.494845356718036
